Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
66;230906;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
67;230905;1465;0.01;0.02128;0.02835;185;0.02;0.25;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
68;230905;1435;0.01;0.02128;0.02835;215;0.02;0.3;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
69;230905;1395;0.01;0.02128;0.02835;245;0.02;0.35;EtOH;2000;;0.654;1;-;NPL;0;0;;;P;-
70;230905;1365;0.01;0.02128;0.02835;270;0.02;0.4;EtOH;2000;;0.654;1;-;NPL;0;0;;;P;-
71;230907;1500;0.01;0.02128;0.02835;600;0.005;0.2;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
72;230928;1500;0.01;0.02128;0.02835;150;0.01;0.1;EtOH;2000;;0.654;1;3;NPL;1;0;;;P;-
73;230928;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
74;230928;1500;0.01;0.02128;0.02835;150;0.022;0.22;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
75;230908;1500;0.01;0.02128;0.02835;150;0.024;0.24;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
76;230908;1500;0.01;0.02128;0.02835;150;0.026;0.26;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
77;230908;1500;0.01;0.02128;0.02835;150;0.028;0.28;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
78;230908;1500;0.01;0.02128;0.02835;150;0.03;0.3;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
79;230908;1500;0.01;0.02128;0.02835;150;0.04;0.4;EtOH;2000;;0.654;1;4;NPL;0;0;;;P;-
80;230908;1500;0.01;0.02128;0.02835;150;0.1;1;EtOH;2000;;0.654;1;-;NPL;1;0;;;P;-
81;231005;1500;0.02;0.04255;0.0567;150;0.02;0.1;EtOH;2000;;0.654;1;4;NPL;1;0;;;P;-
82;231005;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2000;;0.654;1;-;NPL;1;0;;;P;-
83;231005;1500;0.009;0.01915;0.02552;150;0.02;0.22;EtOH;2000;;0.654;1;-;NPL;1;0;;;P;-
84;231005;1500;0.008;0.01702;0.02268;150;0.02;0.25;EtOH;2000;;0.654;1;-;?;0;0;;;P;-
85;231005;1500;0.0066;0.01405;0.01871;150;0.02;0.3;EtOH;2000;;0.654;1;12;?;1;0;;;P;-
86;231005;1500;0.005;0.01064;0.01417;150;0.02;0.4;EtOH;2000;;0.654;1;12;?;1;0;;;P;-
87;221107;1500;0.01;0.02128;0.02835;150;0.02;0.2;Ac;2000;;0.571;1;-;?;1;0;;;P;-
88;221107;1500;0.01;0.02128;0.02835;150;0.02;0.2;ACN;2000;;0.46;1;-;?;1;0;;;P;-
89;VM59;1500;0.01;0.02128;0.02835;75;0.02;0.1;EtAc;1000;;0.228;1;2;NPL;1;0;;;P;-
90;VM60;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeAc;1000;;0.253;1;2;NPL;1;0;;;P;-
91;VM61;1500;0.01;0.02128;0.02835;75;0.02;0.1;EtOH;1000;;0.654;1;3;NPL;1;0;;;P;-
92;VM62;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;1000;;0.762;1;5;(NPL);1;0;;;P;-
93;VM65;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2000;;0.654;1;4;(NPL);1;0;;;P;-
94;VM66;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtAc;2000;;0.228;1;2;NPL;1;0;;;P;-
95;VM67;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeAc;2000;;0.253;1;2;NPL;1;0;;;P;-
96;VM68;1500;0.01;0.02128;0.02835;150;0.02;0.2;MeOH;1000;;0.762;1;5;(NPL);1;0;;;P;-
97;VM69;1200;0.01;0.02128;0.02835;300;0.02;0.5;EtAc;2000;;0.228;1;3;(NPL);1;0;;;P;-
98;VM70;1200;0.01;0.02128;0.02835;300;0.02;0.5;MeAc;2000;;0.253;1;3;?;1;0;;;P;-
99;VM71;1200;0.01;0.02128;0.02835;300;0.02;0.5;EtOH;2000;;0.654;1;12;?;0;0;;;P;-
100;VM72;1200;0.01;0.02128;0.02835;300;0.02;0.5;MeOH;2000;;0.762;1;12;NC;1;0;;;P;-
101;VM73;1200;0.01;0.02128;0.02835;300;0.02;0.5;MeOH;1000;;0.762;1;12;NC;1;0;;;P;-
