;Unnamed: 0;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos;baseline;artificial
46;84;86;0.2806652806652807;0.0404040404040404;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;7.5;34260.0;0.4;0.4568;0.0666666666666666;0.28661346521299313;86.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1047769576957695;515.0;False;False
47;89;91;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;EtOH;0.2;1.0;1.0;0.0;P;1.5;15.0;17130.0;0.1;0.1142;0.0666666666666666;0.1657862200741823;91.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0906207020702072;460.0;False;False
48;90;92;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.2;1.0;1.0;0.0;P;1.5;15.0;24660.0;0.1;0.1644;0.0666666666666666;0.1657862200741823;92.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1297828982898288;486.0;False;False
49;91;93;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.0666666666666666;0.28661346521299313;93.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.127199639963996;473.0;False;False
50;94;96;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;MeOH;0.2;1.0;1.0;0.0;P;3.0;15.0;24660.0;0.2;0.1644;0.0333333333333333;0.17421602787456447;96.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1274063006300627;487.0;False;False
51;97;99;0.2182952182952183;0.09090909090909091;0.48717948717948717;0.07079646017699115;EtOH;0.4;1.0;0.0;0.0;P;6.0;12.0;34260.0;0.5;0.2855;0.0333333333333333;0.26975384961222887;99.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1538588658865887;511.0;False;False
52;98;100;0.2182952182952183;0.09090909090909091;0.48717948717948717;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;6.0;12.0;49320.0;0.5;0.411;0.0333333333333333;0.26975384961222887;100.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0764644464446444;516.0;False;False
53;99;101;0.2182952182952183;0.09090909090909091;0.48717948717948717;0.07079646017699115;MeOH;0.2;1.0;1.0;0.0;P;6.0;12.0;24660.0;0.5;0.2055;0.0166666666666666;0.15735641227380015;101.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0786343834383438;515.0;False;False
54;102;104;0.20270270270270271;0.09090909090909091;0.6153846153846154;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;7.5;11.25;34260.0;0.6666666666666666;0.3045333333333333;0.0266666666666666;0.26975384961222887;104.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1325728172817277;514.0;False;False
55;103;105;0.20270270270270271;0.09090909090909091;0.6153846153846154;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;7.5;11.25;49320.0;0.6666666666666666;0.4384;0.0266666666666666;0.26975384961222887;105.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0763611161116113;516.0;False;False
56;104;106;0.17671517671517672;0.09090909090909091;0.8290598290598291;0.07079646017699115;EtOH;0.4;1.0;0.0;0.0;P;10.0;10.0;34260.0;1.0;0.3425999999999999;0.02;0.26975384961222887;106.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1055002700270026;515.0;False;False
57;105;107;0.17671517671517672;0.09090909090909091;0.8290598290598291;0.07079646017699115;MeOH;0.4;1.0;1.0;0.0;P;10.0;10.0;49320.0;1.0;0.4932;0.02;0.26975384961222887;107.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0756378037803782;516.0;False;False
58;108;110;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.025;1.0;1.0;0.0;P;1.5;15.0;3082.5;0.1;0.02055;0.0083333333333333;0.06743846240305722;110.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1141800180018002;455.0;False;False
59;109;111;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.05;1.0;1.0;0.0;P;1.5;15.0;6165.0;0.1;0.0411;0.0166666666666666;0.0814881420703608;111.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1083935193519352;459.0;False;False
60;110;112;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.075;1.0;1.0;0.0;P;1.5;15.0;9247.5;0.1;0.06165;0.025;0.09553782173766438;112.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0854541854185417;461.0;False;False
61;111;113;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.1;1.0;1.0;0.0;P;1.5;15.0;12330.0;0.1;0.0822;0.0333333333333333;0.10958750140496797;113.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0876241224122411;461.0;False;False
62;112;114;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.125;1.0;1.0;0.0;P;1.5;15.0;15412.5;0.1;0.10275;0.0416666666666666;0.12363718107227155;114.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1433191719171915;462.0;False;False
63;113;115;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.15;1.0;1.0;0.0;P;1.5;15.0;18495.0;0.1;0.1233;0.05;0.13768686073957515;115.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1233764176417642;479.0;False;False
64;114;116;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.175;1.0;1.0;0.0;P;1.5;15.0;21577.5;0.1;0.14385;0.0583333333333333;0.15173654040687873;116.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1239963996399642;485.0;False;False
65;115;117;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.07079646017699115;MeOH;0.2;1.0;1.0;0.0;P;1.5;15.0;24660.0;0.1;0.1644;0.0666666666666666;0.1657862200741823;117.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1231697569756975;487.0;False;False
