;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;baseline;artificial;encoding;fwhm;peak_pos;NPL_type;poly_peak_pos;peak_pos_eV
46;86;0.2806652806652807;0.0404040404040404;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;7.5;6.852;0.4;0.4568;0.06666666666666667;0.28661346521299313;86.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.10477695769576956;515.0;9.0;;
47;91;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;EtOH;0.2;1.0;1.0;0.0;P;1.5;15.0;3.426;0.1;0.1142;0.06666666666666667;0.1657862200741823;91.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.09062070207020723;460.0;3.0;;
48;92;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.2;1.0;1.0;0.0;P;1.5;15.0;4.932;0.1;0.16440000000000002;0.06666666666666667;0.1657862200741823;92.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.1297828982898288;485.99999999999994;5.0;;
49;93;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;6.852;0.2;0.2284;0.06666666666666667;0.28661346521299313;93.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.12719963996399608;473.0;4.0;;
50;96;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;MeOH;0.2;1.0;1.0;0.0;P;3.0;15.0;4.932;0.2;0.16440000000000002;0.03333333333333333;0.17421602787456447;96.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.12740630063006275;487.0;5.0;;
51;99;0.2182952182952183;0.09090909090909091;0.4889267461669506;0.07488986784140969;EtOH;0.4;1.0;0.0;0.0;P;6.0;12.0;6.852;0.5;0.2855;0.03333333333333333;0.26975384961222887;99.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.1538588658865887;511.0;9.0;;
52;100;0.2182952182952183;0.09090909090909091;0.4889267461669506;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;6.0;12.0;9.864;0.5;0.411;0.03333333333333333;0.26975384961222887;100.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.07646444644464445;516.0;9.0;;
53;101;0.2182952182952183;0.09090909090909091;0.4889267461669506;0.07488986784140969;MeOH;0.2;1.0;1.0;0.0;P;6.0;12.0;4.932;0.5;0.2055;0.016666666666666666;0.15735641227380015;101.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.07863438343834384;515.0;9.0;;
54;104;0.20270270270270271;0.09090909090909091;0.616695059625213;0.07488986784140969;EtOH;0.4;1.0;1.0;0.0;P;7.5;11.25;6.852;0.6666666666666666;0.3045333333333333;0.02666666666666667;0.26975384961222887;104.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.13257281728172776;514.0;9.0;;
55;105;0.20270270270270271;0.09090909090909091;0.616695059625213;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;7.5;11.25;9.864;0.6666666666666666;0.4384;0.02666666666666667;0.26975384961222887;105.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.07636111611161134;516.0;9.0;;
56;106;0.17671517671517672;0.09090909090909091;0.8296422487223168;0.07488986784140969;EtOH;0.4;1.0;0.0;0.0;P;10.0;10.0;6.852;1.0;0.34259999999999996;0.02;0.26975384961222887;106.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.10550027002700268;515.0;9.0;;
57;107;0.17671517671517672;0.09090909090909091;0.8296422487223168;0.07488986784140969;MeOH;0.4;1.0;1.0;0.0;P;10.0;10.0;9.864;1.0;0.4932;0.02;0.26975384961222887;107.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.07563780378037821;516.0;9.0;;
58;110;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.025;1.0;1.0;0.0;P;1.5;15.0;0.6165;0.1;0.020550000000000002;0.008333333333333333;0.06743846240305722;110.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.11418001800180022;455.0;3.0;;
59;111;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.05;1.0;1.0;0.0;P;1.5;15.0;1.233;0.1;0.041100000000000005;0.016666666666666666;0.0814881420703608;111.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.1083935193519352;458.99999999999994;3.0;;
60;112;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.075;1.0;1.0;0.0;P;1.5;15.0;1.8495;0.1;0.06165;0.025;0.09553782173766438;112.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08545418541854177;461.0;3.0;;
61;113;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.1;1.0;1.0;0.0;P;1.5;15.0;2.466;0.1;0.08220000000000001;0.03333333333333333;0.10958750140496797;113.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.08762412241224116;461.0;3.0;;
62;114;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.125;1.0;1.0;0.0;P;1.5;15.0;3.0825;0.1;0.10275;0.041666666666666664;0.12363718107227155;114.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.14331917191719157;462.0;3.0;;
63;115;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.15;1.0;1.0;0.0;P;1.5;15.0;3.699;0.1;0.1233;0.05;0.13768686073957515;115.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.12337641764176421;479.0;0.0;;
64;116;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.175;1.0;1.0;0.0;P;1.5;15.0;4.3155;0.1;0.14385;0.058333333333333334;0.15173654040687873;116.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.12399639963996423;484.99999999999994;5.0;;
65;117;0.2806652806652807;0.09090909090909091;0.10562180579216354;0.07488986784140969;MeOH;0.2;1.0;1.0;0.0;P;1.5;15.0;4.932;0.1;0.16440000000000002;0.06666666666666667;0.1657862200741823;117.txt;Methanol;False;False;[1.0, 0.0, 0.1, 0.0, 0.0];0.12316975697569754;487.0;5.0;;
66;118;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.05;1.0;1.0;0.0;P;3.0;15.0;0.8565;0.2;0.02855;0.008333333333333333;0.08991794987074295;118.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.10436363636363621;456.99999999999994;3.0;;
67;119;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.1;1.0;1.0;0.0;P;3.0;15.0;1.713;0.2;0.0571;0.016666666666666666;0.11801730920535011;119.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.09527056705670578;458.00000000000006;3.0;;
68;120;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.15;1.0;1.0;0.0;P;3.0;15.0;2.5694999999999997;0.2;0.08564999999999999;0.025;0.14611666853995728;120.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.08493753375337532;460.0;3.0;;
69;121;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.2;1.0;1.0;0.0;P;3.0;15.0;3.426;0.2;0.1142;0.03333333333333333;0.17421602787456447;121.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.09041404140414055;460.0;3.0;;
70;122;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.25;1.0;1.0;0.0;P;3.0;15.0;4.2825;0.2;0.14275;0.041666666666666664;0.20231538720917164;122.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.09475391539153888;460.0;3.0;;
71;123;0.2806652806652807;0.09090909090909091;0.23339011925042588;0.07488986784140969;EtOH;0.3;1.0;1.0;0.0;P;3.0;15.0;5.138999999999999;0.2;0.17129999999999998;0.05;0.2304147465437788;123.txt;Ethanol;False;False;[1.0, 0.0, 0.2, 0.0, 0.0];0.1024003600360035;462.0;3.0;;
