;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos
81;83;1500;0.009;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;13.499999999999998;34260.0;0.22222222222222224;0.2537777777777778;0.06666666666666667;3650.0;83.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.11975985598559857;485.99999999999994
82;84;1500;0.008;150.0;0.02;EtOH;2000;1.0;0.0;0.0;P;3.0;12.0;34260.0;0.25;0.2855;0.06666666666666667;3650.0;84.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.19353771377137718;499.0
83;85;1500;0.0066;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;9.9;34260.0;0.30303030303030304;0.34606060606060607;0.06666666666666667;3650.0;85.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12802628262826277;507.99999999999994
84;86;1500;0.005;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;7.5;34260.0;0.4;0.4568;0.06666666666666667;3650.0;86.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.10477695769576956;515.0
89;91;1500;0.01;75.0;0.02;EtOH;1000;1.0;1.0;0.0;P;1.5;15.0;17130.0;0.1;0.1142;0.06666666666666667;2575.0;91.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.09062070207020723;460.0
90;92;1500;0.01;75.0;0.02;MeOH;1000;1.0;1.0;0.0;P;1.5;15.0;24660.0;0.1;0.16440000000000002;0.06666666666666667;2575.0;92.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1297828982898288;485.99999999999994
91;93;1500;0.01;150.0;0.02;EtOH;2000;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.06666666666666667;3650.0;93.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.12719963996399608;473.0
94;96;1500;0.01;150.0;0.02;MeOH;1000;1.0;1.0;0.0;P;3.0;15.0;24660.0;0.2;0.16440000000000002;0.03333333333333333;2650.0;96.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.12740630063006275;487.0
97;99;1200;0.01;300.0;0.02;EtOH;2000;1.0;0.0;0.0;P;6.0;12.0;34260.0;0.5;0.2855;0.03333333333333333;3500.0;99.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1538588658865887;511.0
98;100;1200;0.01;300.0;0.02;MeOH;2000;1.0;1.0;0.0;P;6.0;12.0;49320.0;0.5;0.411;0.03333333333333333;3500.0;100.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.07646444644464445;516.0
