Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
184;1455;0.01;381.0;0.0132;n-PrOH;4700;1.0;1.0;0.4538;P
185;1080;0.01;255.0;0.0174;n-BuOH;2385;1.0;0.0;0.2291;P
186;610;0.01;73.0;0.0175;MeOH;4400;0.0;0.0;0.0;P
187;965;0.01;326.0;0.0122;n-BuOH;2575;1.0;0.0;0.5882;P
188;975;0.01;278.0;0.0141;n-BuOH;3600;1.0;0.0;0.4904;P
189;1810;0.012;365.0;0.02;EtAc;1420;1.0;1.0;0.3066;S
190;1875;0.007;223.0;0.02;MeAc;977;1.0;1.0;0.3368;S
191;2270;0.011;500.0;0.02;EtOH;626;1.0;1.0;0.1049;P
192;1990;0.007;445.0;0.02;n-BuOH;497;1.0;1.0;0.2254;S
193;4505;0.003;327.0;0.02;EtOH;561;1.0;1.0;0.5376;S
194;2915;0.004;364.0;0.02;n-BuOH;3310;1.0;1.0;0.8772;S
195;3900;0.006;473.0;0.02;EtOH;1240;1.0;1.0;0.1126;S
196;4555;0.005;428.0;0.02;EtOH;1500;1.0;1.0;0.2832;S
197;4420;0.005;492.0;0.02;EtOH;910;1.0;1.0;0.2951;S
198;4960;0.002;190.0;0.02;EtOH;1920;1.0;1.0;0.4492;S
199;1585;0.006;387.0;0.02;MeOH;880;1.0;1.0;0.0156;P
200;1165;0.007;150.0;0.02;MeOH;759;1.0;1.0;0.5845;P
201;1765;0.011;435.0;0.02;MeOH;1195;1.0;1.0;0.376;P
202;2645;0.009;459.0;0.02;MeOH;1800;1.0;1.0;0.7182;P
203;4545;0.011;68.0;0.1217;MeOH;1255;1.0;1.0;0.4055;S
204;1200;0.0183;81.0;0.0952;MeOH;818;0.0;0.0;0.0;-
205;4955;0.0165;167.0;0.211;MeOH;3365;1.0;0.0;0.0;-
206;2635;0.0146;106.0;0.1315;MeOH;1810;1.0;0.0;0.1782;P
207;4710;0.0088;272.0;0.02;MeOH;1245;1.0;1.0;0.1045;P
208;1905;0.0061;452.0;0.02;EtOH;264;1.0;1.0;0.2203;S
209;3635;0.0124;474.0;0.02;MeOH;1005;1.0;1.0;0.1072;P
210;4875;0.0025;310.0;0.02;i-PrOH;2620;1.0;1.0;0.2439;S
211;4830;0.003;166.0;0.02;MeOH;1385;1.0;1.0;0.4177;S
212;4695;0.0022;262.0;0.02;i-PrOH;3360;1.0;1.0;0.2928;S
213;3615;0.0038;171.0;0.02;MeOH;995;1.0;1.0;0.4485;S
214;4820;0.0032;490.0;0.02;n-PrOH;4435;1.0;0.0;0.3061;P
215;1255;0.0107;340.0;0.02;MeOH;639;1.0;1.0;0.273;S
216;576;0.0184;318.0;0.02;MeOH;271;1.0;0.0;0.5809;S
217;2185;0.0047;255.0;0.02;MeOH;620;1.0;1.0;0.3935;S
218;4710;0.0088;272.0;0.02;MeOH;1245;1.0;1.0;0.4061;S
219;3635;0.0124;474.0;0.02;MeOH;1005;1.0;1.0;0.3037;S
220;4830;0.003;166.0;0.02;MeOH;1385;1.0;1.0;0.4468;P
